BTC,ETH,XRP,FLM,VTHO ,AXS,ENJ
ETH,BTC,ADA,COTI,HIGH,LTC,CAKE
XVG,XRP,XVG,AXS,WRX,SOL,BAKE
ENJ,TRX,WRX,DOT,ETH,USDT,AVAX
TRX,ADA,DOGE,SAND,BTC,VET,COTI
ADA,ENJ,SHIB,SHIB,CAKE,DOT,ETH
XRP,BNB,WRX,DOGE,BAKE,AVAX,BTC
BNB,WRX,SAND,XEM,CAKE,AVAX,FLM
WRX,SAND,COTI,HIGH,LINK,AVAX,XEM
AXS,META,TRX,VTHO,XRP,ENJ,XEM
XRP,AXS,ADA,SHIB,ETH,WRX,SHIB
ADA,LTC,XRP,WRX,BTC,DOGE,DOGE
XVG,SOL,BNB,SAND,CAKE,SHIB,XEM
WRX,USDT,WRX,COTI,COTI,WRX,HIGH
DOGE,VET,AXS,WRX,ETH,SAND,VTHO
SHIB,DOT,XRP,SAND,BTC,COTI,SHIB
WRX,AVAX,ADA,META,FLM,TRX,WRX
SAND,AVAX,XVG,AXS,WRX,ADA,SAND
COTI,AVAX,WRX,LTC,SAND,XRP,COTI
FLM,ENJ,AVAX,SOL,COTI,BNB,WRX
AVAX,DOT,AVAX,BAKE,ETH,WRX,META
AVAX,SAND,AVAX,CAKE,BTC,SAND,AXS
ENJ,SHIB,ENJ,LINK,CAKE,COTI,LTC
WRX,XRP,DOT,XRP,ADA,TRX,SOL
